order_item_id,order_id,inventory_id,quantity_ordered,unit_price_at_purchase,line_total
ITEM00001,ORD00001,INV00017,2,266.72,533.44
ITEM00002,ORD00002,INV00005,4,389.72,1558.88
ITEM00003,ORD00002,INV00015,1,232.51,232.51
ITEM00004,ORD00003,INV00022,5,725.26,3626.3
ITEM00005,ORD00003,INV00005,1,389.72,389.72
ITEM00006,ORD00004,INV00019,4,159.88,639.52
ITEM00007,ORD00004,INV00018,2,434.46,868.92
ITEM00008,ORD00004,INV00027,2,300.88,601.76
ITEM00009,ORD00005,INV00007,5,571.68,2858.4
ITEM00010,ORD00005,INV00013,1,580.88,580.88
ITEM00011,ORD00005,INV00014,4,176.22,704.88
ITEM00012,ORD00006,INV00030,5,324.75,1623.75
ITEM00013,ORD00007,INV00006,1,39.31,39.31
ITEM00014,ORD00007,INV00016,1,604.79,604.79
ITEM00015,ORD00008,INV00011,1,846.11,846.11
ITEM00016,ORD00009,INV00025,3,870.69,2612.07
ITEM00017,ORD00009,INV00008,4,67.38,269.52
ITEM00018,ORD00009,INV00017,4,266.72,1066.88
ITEM00019,ORD00010,INV00027,4,300.88,1203.52
ITEM00020,ORD00010,INV00012,5,628.24,3141.2
ITEM00021,ORD00011,INV00013,2,580.88,1161.76
ITEM00022,ORD00012,INV00008,3,67.38,202.14
ITEM00023,ORD00012,INV00028,5,318.42,1592.1
ITEM00024,ORD00012,INV00027,2,300.88,601.76
ITEM00025,ORD00013,INV00004,1,674.89,674.89
ITEM00026,ORD00013,INV00022,5,725.26,3626.3
ITEM00027,ORD00013,INV00022,2,725.26,1450.52
ITEM00028,ORD00014,INV00007,5,571.68,2858.4
ITEM00029,ORD00015,INV00027,3,300.88,902.64
ITEM00030,ORD00016,INV00024,3,781.27,2343.81
ITEM00031,ORD00016,INV00015,1,232.51,232.51
ITEM00032,ORD00017,INV00007,5,571.68,2858.4
ITEM00033,ORD00017,INV00016,5,604.79,3023.95
ITEM00034,ORD00017,INV00001,1,715.93,715.93
ITEM00035,ORD00018,INV00003,2,411.14,822.28
ITEM00036,ORD00018,INV00011,3,846.11,2538.33
ITEM00037,ORD00018,INV00029,4,153.12,612.48
ITEM00038,ORD00019,INV00029,4,153.12,612.48
ITEM00039,ORD00019,INV00010,2,295.56,591.12
ITEM00040,ORD00019,INV00018,1,434.46,434.46
ITEM00041,ORD00020,INV00002,4,82.54,330.16
ITEM00042,ORD00020,INV00028,4,318.42,1273.68
ITEM00043,ORD00020,INV00025,4,870.69,3482.76
ITEM00044,ORD00021,INV00028,4,318.42,1273.68
ITEM00045,ORD00021,INV00018,5,434.46,2172.3
ITEM00046,ORD00021,INV00016,4,604.79,2419.16
ITEM00047,ORD00022,INV00006,3,39.31,117.93
ITEM00048,ORD00023,INV00001,1,715.93,715.93
ITEM00049,ORD00024,INV00028,4,318.42,1273.68
ITEM00050,ORD00024,INV00021,2,789.51,1579.02
ITEM00051,ORD00024,INV00016,3,604.79,1814.37
ITEM00052,ORD00025,INV00024,3,781.27,2343.81
ITEM00053,ORD00025,INV00015,3,232.51,697.53
ITEM00054,ORD00025,INV00026,3,614.16,1842.48
ITEM00055,ORD00026,INV00015,3,232.51,697.53
ITEM00056,ORD00026,INV00004,3,674.89,2024.67
ITEM00057,ORD00027,INV00019,1,159.88,159.88
ITEM00058,ORD00028,INV00017,1,266.72,266.72
ITEM00059,ORD00029,INV00029,2,153.12,306.24
ITEM00060,ORD00029,INV00006,5,39.31,196.55
ITEM00061,ORD00029,INV00011,1,846.11,846.11
ITEM00062,ORD00030,INV00013,1,580.88,580.88
ITEM00063,ORD00030,INV00001,2,715.93,1431.86
ITEM00064,ORD00031,INV00025,4,870.69,3482.76
ITEM00065,ORD00031,INV00016,2,604.79,1209.58
ITEM00066,ORD00031,INV00029,5,153.12,765.6
ITEM00067,ORD00032,INV00003,2,411.14,822.28
ITEM00068,ORD00032,INV00008,3,67.38,202.14
ITEM00069,ORD00033,INV00027,2,300.88,601.76
ITEM00070,ORD00033,INV00016,1,604.79,604.79
ITEM00071,ORD00034,INV00006,3,39.31,117.93
ITEM00072,ORD00034,INV00021,4,789.51,3158.04
ITEM00073,ORD00034,INV00030,5,324.75,1623.75
ITEM00074,ORD00035,INV00014,4,176.22,704.88
ITEM00075,ORD00035,INV00019,2,159.88,319.76
ITEM00076,ORD00035,INV00003,4,411.14,1644.56
ITEM00077,ORD00036,INV00021,4,789.51,3158.04
ITEM00078,ORD00036,INV00007,2,571.68,1143.36
ITEM00079,ORD00037,INV00024,1,781.27,781.27
ITEM00080,ORD00038,INV00020,1,391.63,391.63
ITEM00081,ORD00039,INV00015,1,232.51,232.51
ITEM00082,ORD00040,INV00001,4,715.93,2863.72
ITEM00083,ORD00040,INV00025,3,870.69,2612.07
ITEM00084,ORD00041,INV00001,4,715.93,2863.72
ITEM00085,ORD00041,INV00026,5,614.16,3070.8
ITEM00086,ORD00041,INV00005,1,389.72,389.72
ITEM00087,ORD00042,INV00013,4,580.88,2323.52
ITEM00088,ORD00042,INV00018,5,434.46,2172.3
ITEM00089,ORD00043,INV00008,5,67.38,336.9
ITEM00090,ORD00044,INV00013,1,580.88,580.88
ITEM00091,ORD00044,INV00001,2,715.93,1431.86
ITEM00092,ORD00045,INV00002,4,82.54,330.16
ITEM00093,ORD00045,INV00004,2,674.89,1349.78
ITEM00094,ORD00046,INV00011,2,846.11,1692.22
ITEM00095,ORD00047,INV00016,3,604.79,1814.37
ITEM00096,ORD00047,INV00007,3,571.68,1715.04
ITEM00097,ORD00047,INV00011,1,846.11,846.11
ITEM00098,ORD00048,INV00016,3,604.79,1814.37
ITEM00099,ORD00048,INV00025,5,870.69,4353.45
ITEM00100,ORD00048,INV00015,3,232.51,697.53
ITEM00101,ORD00049,INV00026,2,614.16,1228.32
ITEM00102,ORD00050,INV00025,3,870.69,2612.07
ITEM00103,ORD00050,INV00013,4,580.88,2323.52
