order_id,customer_id,order_date,order_channel,order_status
ORD00001,CUS00009,2025-06-16,Mobile App,Completed
ORD00002,CUS00004,2025-05-30,Curbside Pickup,Returned
ORD00003,CUS00020,2025-05-02,Mobile App,Shipped
ORD00004,CUS00022,2025-09-14,Online,Cancelled
ORD00005,CUS00001,2025-09-12,Mobile App,Processing
ORD00006,CUS00007,2025-09-17,Curbside Pickup,Completed
ORD00007,CUS00011,2025-03-02,Online,Shipped
ORD00008,CUS00009,2025-10-01,Curbside Pickup,Completed
ORD00009,CUS00007,2025-02-06,Online,Processing
ORD00010,CUS00023,2025-10-14,Curbside Pickup,Shipped
ORD00011,CUS00018,2025-02-09,Online,Processing
ORD00012,CUS00023,2025-04-19,In Store,Processing
ORD00013,CUS00004,2025-10-23,Curbside Pickup,Processing
ORD00014,CUS00018,2025-02-24,In Store,Completed
ORD00015,CUS00025,2025-10-10,Online,Completed
ORD00016,CUS00017,2025-01-29,Curbside Pickup,Processing
ORD00017,CUS00020,2025-09-29,Mobile App,Completed
ORD00018,CUS00016,2025-07-26,Mobile App,Processing
ORD00019,CUS00013,2025-01-07,Online,Completed
ORD00020,CUS00021,2025-01-21,In Store,Processing
ORD00021,CUS00014,2025-03-02,In Store,Returned
ORD00022,CUS00019,2025-12-19,Curbside Pickup,Completed
ORD00023,CUS00016,2025-12-21,Online,Completed
ORD00024,CUS00017,2025-02-17,Online,Processing
ORD00025,CUS00012,2025-08-01,Online,Completed
ORD00026,CUS00016,2025-03-16,Online,Shipped
ORD00027,CUS00008,2025-02-15,Curbside Pickup,Completed
ORD00028,CUS00013,2025-09-01,Online,Cancelled
ORD00029,CUS00005,2025-05-03,In Store,Completed
ORD00030,CUS00003,2025-03-24,Mobile App,Completed
ORD00031,CUS00002,2025-04-30,Curbside Pickup,Returned
ORD00032,CUS00019,2025-12-31,Curbside Pickup,Completed
ORD00033,CUS00009,2025-11-03,Online,Completed
ORD00034,CUS00014,2025-06-01,In Store,Completed
ORD00035,CUS00007,2025-01-10,Curbside Pickup,Completed
ORD00036,CUS00001,2025-03-14,Online,Completed
ORD00037,CUS00004,2025-09-19,Mobile App,Shipped
ORD00038,CUS00025,2025-08-06,Mobile App,Completed
ORD00039,CUS00022,2025-07-16,In Store,Completed
ORD00040,CUS00016,2025-09-30,Curbside Pickup,Completed
ORD00041,CUS00021,2025-08-08,In Store,Completed
ORD00042,CUS00003,2025-09-26,In Store,Completed
ORD00043,CUS00007,2025-05-24,In Store,Processing
ORD00044,CUS00022,2025-09-02,Curbside Pickup,Shipped
ORD00045,CUS00013,2025-05-11,Curbside Pickup,Returned
ORD00046,CUS00018,2025-12-28,In Store,Cancelled
ORD00047,CUS00009,2025-12-12,Online,Completed
ORD00048,CUS00012,2025-12-23,Online,Completed
ORD00049,CUS00019,2025-11-16,Online,Shipped
ORD00050,CUS00024,2025-10-28,Online,Shipped
