order_id,order_date,customer_id,payment_type_id,order_channel,order_status,order_total
ORD0000001,2025-08-04,CUS000173,PAY002,Online,Cancelled,1017.54
ORD0000002,2025-10-16,CUS000104,PAY004,Mobile App,Pending,1722.89
ORD0000003,2025-02-14,CUS000172,PAY001,Online,Processing,8324.42
ORD0000004,2025-05-03,CUS000083,PAY002,In Store,Shipped,3291.9700000000003
ORD0000005,2025-01-27,CUS000061,PAY004,Mobile App,Shipped,9031.17
ORD0000006,2024-11-05,CUS000150,PAY006,In Store,Shipped,8356.57
ORD0000007,2025-10-31,CUS000093,PAY006,Online,Pending,3813.7200000000003
ORD0000008,2025-11-14,CUS000031,PAY004,Mobile App,Processing,5998.41
ORD0000009,2025-02-19,CUS000176,PAY005,Mobile App,Returned,15589.15
ORD0000010,2024-04-30,CUS000164,PAY003,Mobile App,Cancelled,8949.08
ORD0000011,2024-08-14,CUS000057,PAY002,Curbside Pickup,Processing,7982.86
ORD0000012,2025-04-10,CUS000192,PAY005,Mobile App,Completed,1610.1
ORD0000013,2025-12-19,CUS000141,PAY004,Online,Processing,5006.92
ORD0000014,2025-11-27,CUS000194,PAY005,In Store,Cancelled,10570.48
ORD0000015,2025-04-02,CUS000136,PAY006,Mobile App,Pending,4542.05
ORD0000016,2025-07-31,CUS000029,PAY001,Online,Cancelled,0.0
ORD0000017,2025-07-03,CUS000039,PAY002,Mobile App,Cancelled,4592.42
ORD0000018,2025-03-28,CUS000030,PAY006,Online,Returned,5902.33
ORD0000019,2025-08-20,CUS000126,PAY001,Curbside Pickup,Pending,7291.08
ORD0000020,2025-04-09,CUS000034,PAY005,Curbside Pickup,Completed,0.0
ORD0000021,2025-07-31,CUS000015,PAY005,Curbside Pickup,Returned,2815.08
ORD0000022,2024-11-11,CUS000186,PAY001,Curbside Pickup,Shipped,14167.57
ORD0000023,2024-01-04,CUS000191,PAY002,In Store,Pending,2847.54
ORD0000024,2025-03-09,CUS000089,PAY006,In Store,Cancelled,4495.38
ORD0000025,2024-03-02,CUS000018,PAY004,In Store,Shipped,10664.7
ORD0000026,2025-02-22,CUS000047,PAY002,Curbside Pickup,Shipped,905.84
ORD0000027,2025-01-26,CUS000115,PAY004,Curbside Pickup,Pending,2871.2
ORD0000028,2025-11-30,CUS000170,PAY005,Online,Returned,7176.83
ORD0000029,2024-12-22,CUS000031,PAY002,Curbside Pickup,Cancelled,8167.860000000001
ORD0000030,2024-05-10,CUS000187,PAY002,In Store,Pending,9502.52
ORD0000031,2024-11-01,CUS000119,PAY006,Curbside Pickup,Cancelled,18693.86
ORD0000032,2025-01-23,CUS000059,PAY002,Curbside Pickup,Shipped,0.0
ORD0000033,2024-06-07,CUS000071,PAY002,In Store,Pending,19811.5
ORD0000034,2025-11-07,CUS000108,PAY005,In Store,Processing,4526.0
ORD0000035,2024-07-30,CUS000018,PAY001,In Store,Completed,6965.2
ORD0000036,2025-09-04,CUS000173,PAY006,In Store,Processing,1421.82
ORD0000037,2024-02-15,CUS000103,PAY004,Online,Cancelled,7088.900000000001
ORD0000038,2024-08-10,CUS000194,PAY001,Online,Cancelled,6813.089999999999
ORD0000039,2024-10-23,CUS000060,PAY006,Mobile App,Cancelled,3054.09
ORD0000040,2025-09-04,CUS000198,PAY006,Mobile App,Processing,4792.04
ORD0000041,2024-11-05,CUS000037,PAY006,Online,Completed,9135.73
ORD0000042,2024-11-03,CUS000071,PAY001,Online,Returned,8090.71
ORD0000043,2025-11-26,CUS000110,PAY005,Curbside Pickup,Pending,5891.25
ORD0000044,2024-12-18,CUS000165,PAY006,Curbside Pickup,Cancelled,6742.139999999999
ORD0000045,2024-11-22,CUS000179,PAY004,Curbside Pickup,Processing,8382.98
ORD0000046,2024-11-03,CUS000097,PAY002,Curbside Pickup,Processing,8066.2300000000005
ORD0000047,2024-08-18,CUS000077,PAY006,Online,Completed,23957.19
ORD0000048,2024-02-29,CUS000144,PAY004,Curbside Pickup,Cancelled,4264.47
ORD0000049,2025-06-26,CUS000035,PAY004,Online,Shipped,10464.98
ORD0000050,2024-07-27,CUS000085,PAY006,In Store,Completed,5158.469999999999
ORD0000051,2025-01-14,CUS000024,PAY005,Online,Pending,2389.8199999999997
ORD0000052,2024-10-01,CUS000097,PAY006,In Store,Pending,0.0
ORD0000053,2024-07-11,CUS000195,PAY005,Online,Completed,5725.76
ORD0000054,2024-08-01,CUS000086,PAY003,In Store,Processing,3290.1
ORD0000055,2024-07-13,CUS000190,PAY001,Curbside Pickup,Processing,7388.280000000001
ORD0000056,2025-12-13,CUS000155,PAY006,Online,Completed,6217.52
ORD0000057,2024-09-02,CUS000142,PAY003,Mobile App,Completed,7993.280000000001
ORD0000058,2025-04-22,CUS000137,PAY006,Mobile App,Shipped,9051.05
ORD0000059,2024-09-24,CUS000093,PAY005,Curbside Pickup,Completed,17903.72
ORD0000060,2024-04-10,CUS000185,PAY004,Mobile App,Processing,806.55
ORD0000061,2025-01-14,CUS000081,PAY004,In Store,Cancelled,12240.99
ORD0000062,2024-08-14,CUS000190,PAY002,In Store,Shipped,7829.48
ORD0000063,2025-07-20,CUS000150,PAY005,Curbside Pickup,Shipped,9585.48
ORD0000064,2024-06-05,CUS000051,PAY003,Online,Completed,5112.11
ORD0000065,2025-08-06,CUS000063,PAY004,Mobile App,Shipped,5266.43
ORD0000066,2025-05-15,CUS000186,PAY006,Curbside Pickup,Completed,22255.15
ORD0000067,2024-06-21,CUS000188,PAY003,Online,Processing,15185.86
ORD0000068,2025-07-13,CUS000126,PAY002,In Store,Cancelled,3731.24
ORD0000069,2024-02-04,CUS000020,PAY006,In Store,Pending,5077.21
ORD0000070,2025-02-26,CUS000036,PAY006,Online,Pending,10567.99
ORD0000071,2025-12-25,CUS000039,PAY001,Online,Cancelled,1253.16
ORD0000072,2025-04-11,CUS000096,PAY001,Curbside Pickup,Returned,3490.21
ORD0000073,2025-05-14,CUS000005,PAY001,Curbside Pickup,Pending,7204.69
ORD0000074,2024-01-18,CUS000136,PAY006,Mobile App,Cancelled,6289.09
ORD0000075,2024-10-20,CUS000005,PAY005,Curbside Pickup,Processing,2612.86
ORD0000076,2024-04-19,CUS000025,PAY005,Online,Processing,2383.6000000000004
ORD0000077,2024-07-15,CUS000159,PAY005,Mobile App,Shipped,9586.58
ORD0000078,2024-09-30,CUS000102,PAY001,Mobile App,Completed,0.0
ORD0000079,2025-04-15,CUS000145,PAY002,Online,Shipped,3977.65
ORD0000080,2025-12-01,CUS000021,PAY006,In Store,Pending,2200.35
ORD0000081,2025-02-19,CUS000098,PAY004,Curbside Pickup,Pending,13884.26
ORD0000082,2025-10-14,CUS000003,PAY006,Online,Pending,10946.78
ORD0000083,2025-05-26,CUS000112,PAY006,Mobile App,Cancelled,2083.84
ORD0000084,2024-04-07,CUS000136,PAY001,Online,Processing,6366.1
ORD0000085,2025-12-09,CUS000146,PAY004,Mobile App,Pending,6600.469999999999
ORD0000086,2024-03-17,CUS000176,PAY003,In Store,Processing,12118.039999999999
ORD0000087,2024-11-18,CUS000005,PAY002,Online,Returned,8024.73
ORD0000088,2025-02-11,CUS000020,PAY003,Online,Cancelled,10796.25
ORD0000089,2024-09-03,CUS000146,PAY004,Mobile App,Completed,808.5
ORD0000090,2024-05-23,CUS000177,PAY006,In Store,Cancelled,14546.1
ORD0000091,2024-12-20,CUS000014,PAY001,Curbside Pickup,Processing,1640.3
ORD0000092,2024-03-18,CUS000088,PAY005,Curbside Pickup,Shipped,3745.71
ORD0000093,2024-01-31,CUS000163,PAY003,Curbside Pickup,Completed,2637.8
ORD0000094,2024-08-21,CUS000092,PAY005,Curbside Pickup,Completed,2889.06
ORD0000095,2024-07-09,CUS000175,PAY005,Curbside Pickup,Pending,3200.24
ORD0000096,2025-09-25,CUS000076,PAY002,In Store,Pending,20247.030000000002
ORD0000097,2024-10-01,CUS000040,PAY004,Online,Returned,0.0
ORD0000098,2025-02-02,CUS000082,PAY003,In Store,Pending,22799.4
ORD0000099,2024-01-06,CUS000079,PAY004,Mobile App,Shipped,3792.69
ORD0000100,2024-04-14,CUS000034,PAY001,Online,Completed,8173.91
ORD0000101,2025-04-04,CUS000143,PAY005,Curbside Pickup,Pending,10345.87
ORD0000102,2024-01-27,CUS000023,PAY003,In Store,Cancelled,6914.530000000001
ORD0000103,2025-09-04,CUS000084,PAY004,In Store,Shipped,13834.650000000001
ORD0000104,2025-02-27,CUS000100,PAY001,Online,Cancelled,15772.35
ORD0000105,2025-06-17,CUS000044,PAY006,Curbside Pickup,Processing,11779.32
ORD0000106,2024-05-22,CUS000069,PAY003,Mobile App,Completed,8450.78
ORD0000107,2024-05-29,CUS000017,PAY002,Curbside Pickup,Shipped,2072.96
ORD0000108,2025-03-07,CUS000077,PAY004,In Store,Shipped,7264.639999999999
ORD0000109,2024-09-14,CUS000064,PAY006,Curbside Pickup,Cancelled,961.3
ORD0000110,2025-09-23,CUS000051,PAY004,In Store,Processing,2570.9
ORD0000111,2024-11-07,CUS000002,PAY004,Mobile App,Cancelled,7677.62
ORD0000112,2025-01-24,CUS000085,PAY004,Mobile App,Completed,12500.119999999999
ORD0000113,2025-10-28,CUS000153,PAY002,Mobile App,Shipped,3035.02
ORD0000114,2025-09-09,CUS000178,PAY002,Curbside Pickup,Shipped,7470.849999999999
ORD0000115,2024-06-30,CUS000102,PAY003,Mobile App,Returned,0.0
ORD0000116,2025-12-12,CUS000163,PAY004,Online,Shipped,569.26
ORD0000117,2025-01-20,CUS000072,PAY004,Mobile App,Pending,11607.53
ORD0000118,2025-07-31,CUS000052,PAY005,Online,Returned,18903.57
ORD0000119,2025-07-17,CUS000007,PAY006,Curbside Pickup,Returned,6587.360000000001
ORD0000120,2024-08-02,CUS000113,PAY003,In Store,Completed,10004.17
ORD0000121,2025-11-20,CUS000128,PAY002,Mobile App,Processing,13439.26
ORD0000122,2024-09-15,CUS000169,PAY002,Curbside Pickup,Completed,11836.33
ORD0000123,2024-03-16,CUS000115,PAY005,Curbside Pickup,Cancelled,4657.66
ORD0000124,2025-02-14,CUS000137,PAY005,Curbside Pickup,Cancelled,9673.97
ORD0000125,2024-02-07,CUS000093,PAY006,In Store,Pending,10255.27
ORD0000126,2024-09-11,CUS000169,PAY006,Mobile App,Processing,26911.62
ORD0000127,2025-10-24,CUS000157,PAY001,Curbside Pickup,Shipped,7065.37
ORD0000128,2025-03-16,CUS000028,PAY001,In Store,Shipped,5780.98
ORD0000129,2024-08-15,CUS000131,PAY006,Online,Completed,4495.639999999999
ORD0000130,2025-01-18,CUS000101,PAY004,Online,Shipped,9314.79
ORD0000131,2024-01-26,CUS000124,PAY001,Mobile App,Completed,13585.609999999999
ORD0000132,2024-03-28,CUS000030,PAY006,Online,Shipped,10877.01
ORD0000133,2024-11-15,CUS000088,PAY004,Online,Cancelled,6765.9
ORD0000134,2025-05-09,CUS000090,PAY004,In Store,Completed,2558.99
ORD0000135,2025-12-14,CUS000116,PAY003,In Store,Shipped,13427.36
ORD0000136,2024-02-15,CUS000182,PAY001,In Store,Shipped,17116.370000000003
ORD0000137,2025-10-25,CUS000028,PAY006,Online,Returned,18.85
ORD0000138,2024-09-06,CUS000133,PAY002,Online,Shipped,6255.04
ORD0000139,2025-07-27,CUS000110,PAY004,Online,Completed,451.84
ORD0000140,2025-10-06,CUS000048,PAY002,Curbside Pickup,Completed,7114.74
ORD0000141,2024-01-30,CUS000189,PAY005,Online,Completed,2316.05
ORD0000142,2025-08-29,CUS000110,PAY004,In Store,Returned,7279.83
ORD0000143,2024-08-07,CUS000053,PAY003,In Store,Cancelled,8704.039999999999
ORD0000144,2024-04-14,CUS000138,PAY002,Mobile App,Shipped,5287.96
ORD0000145,2024-07-20,CUS000118,PAY001,Mobile App,Returned,576.39
ORD0000146,2025-05-16,CUS000136,PAY006,Mobile App,Cancelled,6187.9400000000005
ORD0000147,2025-02-01,CUS000157,PAY004,In Store,Shipped,2754.3
ORD0000148,2024-12-26,CUS000118,PAY005,Online,Returned,5312.900000000001
ORD0000149,2025-12-23,CUS000077,PAY005,In Store,Returned,3211.79
ORD0000150,2024-05-17,CUS000081,PAY001,Online,Shipped,3335.7
ORD0000151,2024-04-29,CUS000047,PAY003,Online,Cancelled,12528.9
ORD0000152,2025-02-01,CUS000108,PAY005,Online,Cancelled,4750.879999999999
ORD0000153,2025-01-27,CUS000109,PAY002,Curbside Pickup,Returned,13825.03
ORD0000154,2025-07-04,CUS000178,PAY006,Online,Cancelled,7102.89
ORD0000155,2024-06-19,CUS000126,PAY003,Online,Processing,1962.14
ORD0000156,2024-11-18,CUS000116,PAY005,In Store,Shipped,3554.66
ORD0000157,2024-01-10,CUS000125,PAY002,Online,Completed,14752.75
ORD0000158,2025-07-29,CUS000130,PAY006,Curbside Pickup,Completed,11019.96
ORD0000159,2025-12-02,CUS000126,PAY004,Curbside Pickup,Completed,2836.26
ORD0000160,2024-06-20,CUS000022,PAY005,In Store,Processing,7137.68
ORD0000161,2024-10-26,CUS000009,PAY003,Online,Cancelled,1836.24
ORD0000162,2024-10-22,CUS000044,PAY004,Curbside Pickup,Cancelled,712.52
ORD0000163,2025-06-07,CUS000029,PAY005,In Store,Shipped,8897.939999999999
ORD0000164,2025-07-10,CUS000094,PAY005,In Store,Returned,1339.96
ORD0000165,2025-03-27,CUS000140,PAY002,Curbside Pickup,Pending,5588.67
